anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,charter_school,public_school,grades,school_name,es,ms,hs,geography
5C,Cluster 22,"Brookland, Brentwood, Langdon",5C02,Ward 5,011100,UPPER NORTHEAST,1,0,Adult,Academy of Hope Adult PCS [18th Place],0,0,1,0101000020E6100000135334F1943E53C0CEFA5956DC754340
8C,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8C03,Ward 8,009804,FAR SOUTHEAST AND SOUTHWEST,1,0,Adult,Academy of Hope Adult PCS [Southeast],0,0,1,0101000020E61000003DADA1F1FB3F53C053FB167CE26B4340
8E,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8E06,Ward 8,009801,FAR SOUTHEAST AND SOUTHWEST,1,0,PK3-3rd,Achievement Prep PCS - Wahler Place Elementary,1,0,0,0101000020E610000020949F5E813F53C0B657CB82CB6A4340
8E,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8E06,Ward 8,009801,FAR SOUTHEAST AND SOUTHWEST,1,0,4th-8th,Achievement Prep PCS - Wahler Place Middle,1,0,0,0101000020E610000020949F5E813F53C0B657CB82CB6A4340
7C,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",7C03,Ward 7,007804,FAR NORTHEAST AND SOUTHEAST,0,1,PK3-5th,Aiton Elementary School,1,0,0,0101000020E6100000C4EDEDCAC13B53C088251E33D1724340
6D,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",6D01,Ward 6,010200,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,0,1,PK3-5th,Amidon-Bowen Elementary School,1,0,0,0101000020E6100000A8359000294153C011D26B3494704340
8A,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",8A02,Ward 8,007601,FAR NORTHEAST AND SOUTHEAST,0,1,9th-12th,Anacostia High School,0,0,1,0101000020E610000012D95BC6EA3E53C0DCE294285F6F4340
1B,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1B07,Ward 1,003700,MID-CITY,1,0,PK3-PK4,AppleTree Early Learning PCS - Columbia Heights,1,0,0,0101000020E610000006CB2583184253C08A1C0EA46E764340
8E,Cluster 38,"Douglas, Shipley Terrace",8E03,Ward 8,007403,FAR SOUTHEAST AND SOUTHWEST,1,0,PK3-PK4,AppleTree Early Learning PCS - Douglas Knoll,1,0,0,0101000020E610000014E0CE20653E53C0494BBA84A46C4340
6A,Cluster 26,"Capitol Hill, Lincoln Park",6A03,Ward 6,008100,CAPITOL HILL,1,0,PK3-PK4,AppleTree Early Learning PCS - Lincoln Park,1,0,0,0101000020E6100000E7234CF9643F53C05B432E5B1D724340
7D,Cluster 25,"Union Station, Stanton Park, Kingman Park",7D01,Ward 7,007903,CAPITOL HILL,1,0,PK3-PK4,AppleTree Early Learning PCS - Oklahoma Ave,1,0,0,0101000020E6100000733300FD6F3E53C0AE4B215C82724340
8B,Cluster 38,"Douglas, Shipley Terrace",8B07,Ward 8,007409,FAR SOUTHEAST AND SOUTHWEST,1,0,PK3-PK4,AppleTree Early Learning PCS - Parklands @ THEARC,1,0,0,0101000020E610000033C1289B883E53C0385B3CF1F36B4340
6D,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",6D01,Ward 6,010200,CENTRAL WASHINGTON,1,0,PK3-PK4,AppleTree Early Learning PCS - Southwest,1,0,0,0101000020E610000077CC0234344153C07BA5215F2E714340
8C,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8C04,Ward 8,009803,FAR SOUTHEAST AND SOUTHWEST,0,1,9th-12th,Ballou High School,0,0,1,0101000020E610000021F81004104053C006159022716B4340
8C,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8C04,Ward 8,009803,FAR SOUTHEAST AND SOUTHWEST,0,1,Adult,Ballou STAY High School,0,0,1,0101000020E610000021F81004104053C006159022716B4340
1D,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1D03,Ward 1,002701,MID-CITY,0,1,PK3-5th,Bancroft Elementary School,1,0,0,0101000020E6100000161A2977984253C0288417FD97774340
7E,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",7E01,Ward 7,007707,FAR NORTHEAST AND SOUTHEAST,0,1,9th-12th,Bard High School Early College DC,0,0,1,0101000020E610000051CD39F1013C53C0AFADD48D85704340
4C,Cluster 18,"Brightwood Park, Crestwood, Petworth",4C09,Ward 4,002202,ROCK CREEK EAST,0,1,PK3-5th,Barnard Elementary School,1,0,0,0101000020E6100000B3F70A4C234153C0FD7D51E05F794340
2C,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2C03,Ward 2,005800,CENTRAL WASHINGTON,1,0,5th-12th,BASIS DC PCS,0,0,0,0101000020E6100000181EC77E7C4153C0DF2A20A196724340
7B,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",7B04,Ward 7,007604,FAR NORTHEAST AND SOUTHEAST,0,1,PK3-5th,Beers Elementary School,1,0,0,0101000020E6100000A3B049AA283D53C04BC67442A36E4340
1B,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1B11,Ward 1,003500,MID-CITY,0,1,9th-12th,Benjamin Banneker High School,0,0,1,0101000020E6100000FBC142E0884153C00385666540764340
8A,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",8A01,Ward 8,007601,FAR NORTHEAST AND SOUTHEAST,0,1,PK3-5th,Boone Elementary School,1,0,0,0101000020E6100000A866B3FB5D3E53C0FABA184B976F4340
4C,Cluster 18,"Brightwood Park, Crestwood, Petworth",4C06,Ward 4,002502,ROCK CREEK EAST,1,0,PK3-1st,Breakthrough Montessori PCS - Petworth,1,0,0,0101000020E6100000B5646CA0D04153C0BDEEEFCC67784340
4B,Cluster 17,"Takoma, Brightwood, Manor Park",4B07,Ward 4,001702,ROCK CREEK EAST,1,0,PK3-1st,Breakthrough Montessori PCS - Takoma,1,0,0,0101000020E6100000AEC43C08EC4053C01EEFDA0F997C4340
6B,Cluster 26,"Capitol Hill, Lincoln Park",6B02,Ward 6,006500,CAPITOL HILL,0,1,PK3-5th,Brent Elementary School,1,0,0,0101000020E61000007FE594F4174053C001DBFF6841714340
5A,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",5A07,Ward 5,009508,UPPER NORTHEAST,1,0,PK3-5th,Bridges PCS,1,0,0,0101000020E61000003315F7927A4053C07CB58BA4F7794340
4A,Cluster 18,"Brightwood Park, Crestwood, Petworth",4A06,Ward 4,002001,ROCK CREEK EAST,0,1,PK3-8th,Brightwood Education Campus,1,0,0,0101000020E6100000177FEFD7F64153C08A484C14F37A4340
1D,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1D03,Ward 1,002701,MID-CITY,1,0,PK3-PK4; Adult,Briya PCS [Bancroft/Mount Pleasant],1,0,0,0101000020E61000004CB61C77984253C0FF2D04FD97774340
5A,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",5A07,Ward 5,009508,UPPER NORTHEAST,1,0,PK3-PK4; Adult,Briya PCS [Gallatin Street/Fort Totten],1,0,0,0101000020E61000003315F7927A4053C07CB58BA4F7794340
4C,Cluster 18,"Brightwood Park, Crestwood, Petworth",4C06,Ward 4,002502,ROCK CREEK EAST,1,0,PK3-PK4; Adult,Briya PCS [Georgia Avenue/Petworth],1,0,0,0101000020E6100000D48898709B4153C00125D59439784340
1C,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1C07,Ward 1,003800,MID-CITY,1,0,PK3-PK4; Adult,Briya PCS [Ontario Road/Adams Morgan],1,0,0,0101000020E6100000040089388C4253C0E7A891ADE2754340
5B,Cluster 20,"North Michigan Park, Michigan Park, University Heights",5B05,Ward 5,009504,UPPER NORTHEAST,0,1,6th-8th,Brookland Middle School,0,1,0,0101000020E610000072165D8E6D3F53C029CA183720784340
5D,Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",5D04,Ward 5,008904,UPPER NORTHEAST,0,1,PK3-8th,Browne Education Campus,1,0,0,0101000020E6100000738537721F3E53C02738BF9A88734340
1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A08,Ward 1,003200,MID-CITY,0,1,PK3-5th,Bruce-Monroe Elementary School @ Park View,1,0,0,0101000020E61000002312B1245B4153C0233523209B774340
5B,Cluster 20,"North Michigan Park, Michigan Park, University Heights",5B02,Ward 5,009503,UPPER NORTHEAST,0,1,PK3-5th,Bunker Hill Elementary School,1,0,0,0101000020E6100000E3937E330A3F53C05956FD1C94784340
5B,Cluster 22,"Brookland, Brentwood, Langdon",5B02,Ward 5,009400,UPPER NORTHEAST,0,1,PK3-5th,Burroughs Elementary School,1,0,0,0101000020E6100000BD64FA109F3E53C0DCA679427D774340
7C,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",7C06,Ward 7,007807,FAR NORTHEAST AND SOUTHEAST,0,1,PK3-5th,Burrville Elementary School,1,0,0,0101000020E6100000DB4344602A3B53C09E2CBCFB45734340
4B,Cluster 17,"Takoma, Brightwood, Manor Park",4B06,Ward 4,001902,ROCK CREEK EAST,1,0,9th-12th,Capital City PCS - High School,0,0,1,0101000020E610000054F19FDBD24053C0A4976E76287B4340
4B,Cluster 17,"Takoma, Brightwood, Manor Park",4B06,Ward 4,001902,ROCK CREEK EAST,1,0,PK3-4th,Capital City PCS - Lower School,1,0,0,0101000020E610000054F19FDBD24053C0A4976E76287B4340
4B,Cluster 17,"Takoma, Brightwood, Manor Park",4B06,Ward 4,001902,ROCK CREEK EAST,1,0,5th-8th,Capital City PCS - Middle School,0,0,0,0101000020E610000054F19FDBD24053C0A4976E76287B4340
5E,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",5E02,Ward 5,009204,UPPER NORTHEAST,1,0,5th-8th,Capital Village PCS,0,0,0,0101000020E610000000BD4281BB3F53C0FD3A80253B764340
6C,Cluster 25,"Union Station, Stanton Park, Kingman Park",6C04,Ward 6,008301,CAPITOL HILL,0,1,PK3-8th,Capitol Hill Montessori,1,0,0,0101000020E6100000D47445062A4053C0ED620F4903734340
1B,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1B06,Ward 1,003600,MID-CITY,0,1,6th-12th,Cardozo Education Campus,0,1,0,0101000020E61000000E4BBC80D24153C023796DFE09764340
1B,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1B09,Ward 1,003600,MID-CITY,1,0,Adult,Carlos Rosario International PCS [Harvard Street],0,0,1,0101000020E610000021B1498AC34153C02DCE819C96764340
5E,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",5E03,Ward 5,008702,UPPER NORTHEAST,1,0,Adult,Carlos Rosario International PCS [Sonia Gutierrez],0,0,1,0101000020E61000007249F893EC3F53C0AC5A43498B754340
8C,Cluster 37,"Sheridan, Barry Farm, Buena Vista",8C01,Ward 8,007401,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,1,0,PK3-1st,Cedar Tree Academy PCS,1,0,0,0101000020E6100000472BFDD4F23F53C0F355FFDF9E6E4340
4A,Cluster 17,"Takoma, Brightwood, Manor Park",4A06,Ward 4,001804,ROCK CREEK EAST,1,0,PK3-8th,Center City PCS - Brightwood,1,0,0,0101000020E6100000B5A1212CD04153C082C35D1E4A7B4340
6B,Cluster 26,"Capitol Hill, Lincoln Park",6B10,Ward 6,006801,CAPITOL HILL,1,0,PK3-8th,Center City PCS - Capitol Hill,1,0,0,0101000020E61000002AEBC87FEE3E53C07E6AED39DC714340
8C,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8C01,Ward 8,010400,FAR SOUTHEAST AND SOUTHWEST,1,0,PK3-8th,Center City PCS - Congress Heights,1,0,0,0101000020E6100000BA95B1DB484053C009DA325BB96B4340
4C,Cluster 18,"Brightwood Park, Crestwood, Petworth",4C07,Ward 4,002400,ROCK CREEK EAST,1,0,PK3-8th,Center City PCS - Petworth,1,0,0,0101000020E6100000B7958B92564153C0A29B9C03D1784340
6E,Cluster 7,"Shaw, Logan Circle",6E03,Ward 6,004902,NEAR NORTHWEST,1,0,PK4-8th,Center City PCS - Shaw,1,0,0,0101000020E610000007A6B563734153C0CD72DD6227744340
5D,Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",5D06,Ward 5,008802,UPPER NORTHEAST,1,0,PK3-8th,Center City PCS - Trinidad,1,0,0,0101000020E610000013BFD8E46F3F53C0B1E34316E1734340
7D,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",7D07,Ward 7,009602,FAR NORTHEAST AND SOUTHEAST,1,0,9th-12th,Cesar Chavez PCS for Public Policy - Parkside High School,0,0,1,0101000020E610000063711885BD3C53C0CB27D49062734340
7D,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",7D07,Ward 7,009602,FAR NORTHEAST AND SOUTHEAST,1,0,6th,Cesar Chavez PCS for Public Policy - Parkside Middle School,0,1,0,0101000020E610000063711885BD3C53C0CB27D49062734340
1B,Cluster 3,"Howard University, Le Droit Park, Cardozo/Shaw",1B01,Ward 1,004400,MID-CITY,0,1,PK3-5th,Cleveland Elementary School,1,0,0,0101000020E610000082C15C12744153C0B7FAA1B923754340
1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A05,Ward 1,002802,MID-CITY,0,1,6th-12th,Columbia Heights Education Campus 6–8 (CHEC),0,1,0,0101000020E61000002B123C8A4B4253C017D53F91FB764340
1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A05,Ward 1,002802,MID-CITY,0,1,6th-12th,Columbia Heights Education Campus 9–12 (CHEC),0,1,0,0101000020E61000002B123C8A4B4253C017D53F91FB764340
8B,Cluster 37,"Sheridan, Barry Farm, Buena Vista",8B04,Ward 8,007407,FAR SOUTHEAST AND SOUTHWEST,1,0,Adult,Community College Preparatory Academy PCS [DCIA],0,0,1,0101000020E6100000AE62A64B133F53C0B0C0F454AD6D4340
8A,Cluster 37,"Sheridan, Barry Farm, Buena Vista",8A06,Ward 8,007401,FAR SOUTHEAST AND SOUTHWEST,1,0,Adult,Community College Preparatory Academy PCS [Main],0,0,1,0101000020E610000060945949873F53C02F36BFE46E6E4340
8C,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8C07,Ward 8,009804,FAR SOUTHEAST AND SOUTHWEST,1,0,Adult,Community College Preparatory Academy PCS [MC Terrell],0,0,1,0101000020E6100000CAA07F619F3F53C0D2EA6825B76B4340
4B,Cluster 17,"Takoma, Brightwood, Manor Park",4B03,Ward 4,001902,ROCK CREEK EAST,0,1,9th-12th,Coolidge High School,0,0,1,0101000020E6100000A618B2CE404153C088448439D07B4340
5A,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",5A05,Ward 5,002302,ROCK CREEK EAST,1,0,PK3-8th,Creative Minds International PCS,1,0,0,0101000020E6100000FBCBE4F8714053C0DFDB000EE1774340
7E,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",7E06,Ward 7,009905,FAR NORTHEAST AND SOUTHEAST,0,1,PK3-5th,C.W. Harris Elementary School,1,0,0,0101000020E61000000F6F5F83453B53C02270BF021A714340
5A,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",5A07,Ward 5,009508,UPPER NORTHEAST,1,0,PK3-5th,DC Bilingual PCS,1,0,0,0101000020E610000099D3C9CA6C4053C0D84E5A263B7A4340
8A,Cluster 28,Historic Anacostia,8A05,Ward 8,007503,FAR SOUTHEAST AND SOUTHWEST,1,0,PK3-2nd,DC Prep PCS - Anacostia Elementary,1,0,0,0101000020E61000000A53EEE4053F53C0528118F9AC6E4340
8C,Cluster 37,"Sheridan, Barry Farm, Buena Vista",8C06,Ward 8,007401,FAR SOUTHEAST AND SOUTHWEST,1,0,4th,DC Prep PCS - Anacostia Middle,1,0,0,0101000020E6100000427035EDB33F53C0328678ED0C6E4340
7F,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",7F01,Ward 7,009603,FAR NORTHEAST AND SOUTHEAST,1,0,PK3-3rd,DC Prep PCS - Benning Elementary,1,0,0,0101000020E6100000B2ED06FE773C53C0F648263F0D724340
7F,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",7F01,Ward 7,009603,FAR NORTHEAST AND SOUTHEAST,1,0,4th-8th,DC Prep PCS - Benning Middle,1,0,0,0101000020E6100000B2ED06FE773C53C0F648263F0D724340
5E,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",5E02,Ward 5,009204,UPPER NORTHEAST,1,0,PK3-3rd,DC Prep PCS - Edgewood Elementary,1,0,0,0101000020E6100000D9E33129BA3F53C0CEE5F6F34E764340
5E,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",5E02,Ward 5,009204,UPPER NORTHEAST,1,0,4th-8th,DC Prep PCS - Edgewood Middle,1,0,0,0101000020E6100000BBD856A6BE3F53C067FAE3175E764340
7E,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",7E07,Ward 7,009903,FAR NORTHEAST AND SOUTHEAST,1,0,PK3-8th,DC Scholars PCS,1,0,0,0101000020E6100000610E19DFFD3A53C0471CB5B5DA714340
3E,Cluster 11,"Friendship Heights, American University Park, Tenleytown",3E04,Ward 3,001100,ROCK CREEK WEST,0,1,6th-8th,Deal Middle School,0,1,0,0101000020E6100000C1736419D04453C0E7ABD1C3F8794340
8C,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8C03,Ward 8,010400,FAR SOUTHEAST AND SOUTHWEST,1,0,PK3-8th,Democracy Prep Congress Heights PCS,1,0,0,0101000020E61000001266D19BE13F53C0971552F6F76B4340
6B,Cluster 26,"Capitol Hill, Lincoln Park",6B04,Ward 6,007100,CAPITOL HILL,1,0,6th-8th,Digital Pioneers Academy PCS,0,1,0,0101000020E6100000254D6EB0663F53C0F29D7CD9BA704340
4A,Cluster 40,Walter Reed,4A03,Ward 4,010300,ROCK CREEK EAST,1,0,6th-11th,District of Columbia International School,0,1,0,0101000020E61000002E7E5563304253C0845C5336897C4340
4C,Cluster 18,"Brightwood Park, Crestwood, Petworth",4C05,Ward 4,002501,ROCK CREEK EAST,0,1,PK3-5th,Dorothy I. Height Elementary School,1,0,0,0101000020E6100000E76CD06CF44153C0A661E101EC784340
7C,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",7C06,Ward 7,007807,FAR NORTHEAST AND SOUTHEAST,0,1,PK3-5th,Drew Elementary School,1,0,0,0101000020E6100000FEF1F31EE03A53C02F8AC42CB0724340
2E,Cluster 4,"Georgetown, Burleith/Hillandale",2E01,Ward 2,000300,NEAR NORTHWEST,0,1,9th-12th,Duke Ellington School of the Arts,0,0,1,0101000020E610000083B0FCF47F4453C0B8F51E0EEC744340
5E,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",5E05,Ward 5,004600,NEAR NORTHWEST,0,1,9th-12th,Dunbar High School,0,0,1,0101000020E61000005A2775F9CF4053C02D98E6592D744340
8C,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8C03,Ward 8,007304,FAR SOUTHEAST AND SOUTHWEST,1,0,PK3-3rd,Eagle Academy PCS - Congress Heights,1,0,0,0101000020E6100000B4A0B4F68D3F53C08A0F4C2E8E6B4340
2C,Cluster 45,"National Mall, Potomac River",2C03,Ward 2,006202,CENTRAL WASHINGTON,1,0,PK3-3rd,Eagle Academy PCS - Fairlawn,1,0,0,0101000020E6100000AF99999FA64053C0D69438F7E5714340
8E,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8E07,Ward 8,009700,FAR SOUTHEAST AND SOUTHWEST,1,0,PK3-3rd,Early Childhood Academy PCS,1,0,0,0101000020E6100000D68D0555703F53C0431475D1716A4340
8E,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8E07,Ward 8,009700,FAR SOUTHEAST AND SOUTHWEST,1,0,PK3-3rd,Early Childhood Academy PCS [Facility B],1,0,0,0101000020E61000007E8030B4553F53C0FDD358375E6A4340
4B,Cluster 17,"Takoma, Brightwood, Manor Park",4B03,Ward 4,001902,ROCK CREEK EAST,0,1,9th-12th,Early College Academy at Coolidge High School,0,0,1,0101000020E6100000A618B2CE404153C088448439D07B4340
6A,Cluster 26,"Capitol Hill, Lincoln Park",6A08,Ward 6,008002,CAPITOL HILL,0,1,9th-12th,Eastern High School,0,0,1,0101000020E6100000562E402FB33E53C04D3F6AF5F8714340
3C,Cluster 15,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",3C09,Ward 3,000600,ROCK CREEK WEST,0,1,PK4-5th,Eaton Elementary School,1,0,0,0101000020E61000009EF67C73364453C0B0A057D863774340
4C,Cluster 18,"Brightwood Park, Crestwood, Petworth",4C07,Ward 4,002400,ROCK CREEK EAST,1,0,PK3-4th,E.L. Haynes PCS - Elementary School,1,0,0,0101000020E61000004F88B64E6F4153C059FC36BA09794340
