,OBJECTID_left,GLOBALID,REQUESTID,REQUESTTYPE,REQUESTDATE,STATUS,STREETSEGID,COMMENTS,USERTYPE,geometry,YEAR,index_right,OBJECTID_right,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SQMILES
259,260,{23540991-24FD-4CA3-AC38-08422C6C94BE},260,Speeding,2015-06-30T13:42:14+00:00,Unassigned,6953.0,This block seems to be some sort of drag race spot for motorcycles.,Pedestrian,POINT (-76.97500808549886 38.94424654339771),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,331,{6F8384B1-2D1F-4809-9A78-31D23C6872C4},331,Other Biking Issue,2015-06-30T15:43:04+00:00,Unassigned,3890.0,Frequent close passing at high speed on blind hill by drivers.,Biker,POINT (-77.03433398089943 38.99059947161571),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,1137,{46EFDCA8-BE5D-4292-9D5E-6C5DFCC39142},1137,Failure to stop for pedestrians,2015-07-03T03:27:18+00:00,Unassigned,3998.0,Cars turning right from western age onto Wisconsin age northbound often do not yield to pedestrians in crosswalk.,Pedestrian,POINT (-77.0854819135665 38.96097613718058),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,1642,{287E0AAF-B86B-4E4E-8BD4-4B244CF1589C},1642,Other Walking Issue,2015-07-06T18:47:21+00:00,Unassigned,3890.0,Sidewalk randomly ends mid-block.,Pedestrian,POINT (-77.03453833198863 38.99075862514142),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,2094,{A9036D86-DADA-4523-AF3F-9BCA4E199B68},2094,Other Driving Issue,2015-07-12T21:49:47+00:00,Unassigned,11306.0,"NO ACCOMMODATION FOR BICYCLISTS.  TELL ME, HOW ARE CYCLISTS SUPPOSED TO GO WEST HERE TO GET TO THE PA AVE CYCLE LANES?  NO BIKE ACCOMMODATIONS ON CONSTITUTION.  THE SENATE PARKING LOT IS OFTEN BLOCKED OFF.",Pedestrian,POINT (-77.00910209135202 38.89208158879337),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,2298,{D78137AF-7FD2-4B2B-87BD-B404E8EF86FA},2298,Other Driving Issue,2015-07-13T17:33:40+00:00,Unassigned,12240.0,"Are there two travel lanes here, or just one? The portion of Eastern towards NH Ave has two marked lanes, but once you cross the hill and head towards Kansas Ave, all road markings disappear, but there was no merge. What to do?",Biker,POINT (-77.00351326214084 38.96652865899973),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,2314,{7C3B31F3-8D07-41FF-84E2-E1B5B8269438},2314,Speeding,2015-07-13T17:48:19+00:00,Unassigned,11079.0,"Speeding is huge issue on this stretch of Eastern Ave. Though the speed limit is 25 MPH (because it is entirely residential), it is completely ignored.",Car Driver,POINT (-76.90978646176978 38.89318113116489),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,3305,{1455B3B3-9FEE-486F-9FFE-6C4BEEBAC385},3305,Speeding,2015-07-17T20:41:30+00:00,Unassigned,4136.0,"This intersection is dangerous not just for pedestrians, but motorists as well.  There are vehicles coming from five different directions and there are frequent accidents. Need a stop sign or light.",Pedestrian,POINT (-76.96670093150979 38.93793376095024),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2664,3589,{60F298A1-4067-4A2F-BE71-CA3D97262169},3589,Other Walking Issue,2015-07-21T17:59:03+00:00,Unassigned,934.0,Nowhere to cross to get to grocery store for miles. Need crosswalks on Eastern Ave,Pedestrian,POINT (-76.99501084133468 38.95989048253602),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2665,3590,{8F442507-9700-4B6B-B81B-490C7855AE7D},3590,Poor visibility,2015-07-21T18:00:46+00:00,Unassigned,12559.0,Difficult to see traffic if trying to turn right or left with cars parked on street,Car Driver,POINT (-76.9893922437733 38.95549211279258),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2670,3595,{C0BBF732-5D1E-42ED-B72C-9F099F749C1D},3595,Other Driving Issue,2015-07-21T22:36:51+00:00,Unassigned,8899.0,"Cars fail to recognize the ""No Left Turn"" signs and hold up traffic as people incessantly blare their horns",Pedestrian,POINT (-77.08573589776191 38.96078933518228),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689,3614,{9697424B-91B8-4FB7-A77E-F66471EA091C},3614,Speeding,2015-07-22T12:28:18+00:00,Unassigned,3836.0,"Lots of pedestrians, bus riders, cyclists, and mobility impaired citizens at this intersection and cars that go as much as twice the speed limit of 25.  Needs a light, stop sign, or speed management device to allow for safe traffic management.",Pedestrian,POINT (-76.9668177043353 38.93786097017641),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,3621,{5FD33399-5920-44E0-82F6-EC65163B38AB},3621,Speeding,2015-07-21T18:00:01+00:00,Unassigned,934.0,Drivers typically speed down Eastern Ave.,Pedestrian,POINT (-76.99548103628581 38.96025905291913),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2829,3799,{D34820CB-CF88-42D8-ACAD-3D24230BF050},3799,Other Walking Issue,2015-07-27T18:53:56+00:00,Unassigned,4153.0,"There is NO CROSSWALK across Suitland Parkway! I think that this might be entirely in MD, but it greatly affects DC peds going to/from metro. It's so dangerous it's absurd!",Pedestrian,POINT (-76.96196722591964 38.85193339920282),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886,3946,{ED7851F1-3117-41FA-9E77-105EAA14D5EF},3946,Failure to stop for pedestrians,2015-07-28T12:34:17+00:00,Unassigned,3836.0,"This is a major intersection next to a park and bus stop that is dangerous to cross with a bike, car, or on foot. It invites speeding and refusal to yield because there's a hill and it's a long stretch without a signal.",Pedestrian,POINT (-76.96680795954035 38.93787465461747),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2891,3951,{4872BB80-FD13-4065-BA76-A98F62E44C38},3951,Failure to stop for pedestrians,2015-07-28T12:51:30+00:00,Unassigned,2608.0,"Signage telling drivers that there is a crosswalk here is inadequate or missing, making it difficult for pedestrians to cross the street.",Pedestrian,POINT (-76.96816526763401 38.93891818211127),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2892,3952,{079A93C6-894F-4415-8A70-6D85BA02F452},3952,Failure to stop for pedestrians,2015-07-28T12:52:01+00:00,Unassigned,3836.0,"Signage telling drivers that there is a crosswalk here is inadequate or missing, making it difficult for pedestrians to cross the street.",Pedestrian,POINT (-76.96680795954035 38.93787465461747),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2925,3991,{53B80516-F044-4D2E-BAF7-5FCAD89DEBF6},3991,Poor visibility,2015-07-28T14:22:30+00:00,Unassigned,3836.0,"There should be a light at this very busy intersection! I have witnessed a lot of almost accidents. Very unsafe for drivers and pedestrians, especially with the bus stop so close.",Car Driver,POINT (-76.96681519859713 38.93786448900705),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2974,4047,{B3B9CCF6-BC4A-4F4B-BE89-A95AA81E62A4},4047,Red light running,2015-07-29T12:34:35+00:00,Unassigned,10538.0,"2-3 cars/cycle run red trying to make L turns from Eastern. A modern roundabout would be preferable, but dedicated L turn lanes from Eastern are needed. I've witnessed 2 crashes. I'm sure there've been others. Ped was struck recently.",Pedestrian,POINT (-76.9634449611692 38.93520662872758),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2975,4048,{FC0E6A20-5C1D-4C6E-B76C-6BD1C0EC3B6E},4048,Poor visibility,2015-07-29T12:45:56+00:00,Unassigned,2935.0,Very difficult to get onto Eastern at this intx. Combination of speeding drivers and low sight lines due to parked cars makes it hazardous.,Car Driver,POINT (-76.95941808595241 38.93216319983503),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2990,4063,{2201E62A-3621-422D-B3C0-FE29F978B435},4063,Long wait to cross,2015-07-29T13:31:06+00:00,Unassigned,5634.0,,Pedestrian,POINT (-76.96733305597316 38.93824730735027),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2994,4081,{3A14781C-06D9-4864-986B-125DD63B7749},4081,Speeding,2015-07-29T12:44:08+00:00,Unassigned,2935.0,"Speeds regularly 35++mph in a 25 mph zone SB towards Bladensburg. Drivers gun it as soon as they pass speed cam.
No lane markings so it appears to be 1 very large lane, still treated as 2 lanes by most. Stripe it.",Car Driver,POINT (-76.95946290428415 38.93212949729093),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2996,4083,{4B167B33-099D-4347-92B2-816CD27B7033},4083,Long wait to cross,2015-07-29T13:41:04+00:00,Unassigned,3836.0,"No traffic controls between RI Ave and Varnum St so cars speed through this stretch of Eastern Ave. 5-Way intersection has too much traffic with no control, especially during rush hour. A pedestrian and vehicle trip light is badly needed.",Car Driver,POINT (-76.96681643703897 38.93786274985628),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3012,4099,{1458F993-63BB-4C06-9D4D-F15CA33A2D44},4099,Speeding,2015-07-29T13:30:05+00:00,Unassigned,5634.0,Cars regularly speed.,Pedestrian,POINT (-76.96709779807891 38.93806313609453),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3029,4116,{74C966C6-97D8-4BA5-9C9D-A557EB035BD8},4116,Failure to stop for pedestrians,2015-07-29T13:28:55+00:00,Unassigned,4136.0,Cars do not stop for pedestrians. Risky pedestrian crossing.,Pedestrian,POINT (-76.96671453552538 38.93801438098119),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3065,4157,{935FF455-A6AA-4A94-86EC-D4BADB6E31B3},4157,Other Driving Issue,2015-07-30T15:32:07+00:00,Unassigned,10136.0,The road regularly floods under the overpass.,Car Driver,POINT (-76.93167188032007 38.91033034078151),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3078,4170,{FD7E1825-6716-4FBB-976C-D7C3EEA7B3DB},4170,Other Driving Issue,2015-07-30T16:05:48+00:00,Unassigned,12396.0,Flooding.  Please fix drainage.,Car Driver,POINT (-76.93133908517969 38.91017992972256),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094,4186,{505B4BB1-A31D-4FD8-8B91-8D4290FEB951},4186,Other Driving Issue,2015-07-30T16:10:42+00:00,Unassigned,6286.0,"Please fix potholes.  

https://goo.gl/maps/3Z74d",Car Driver,POINT (-76.92360104281462 38.90400621240184),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3150,4291,{D003FA52-BC22-49DB-8619-A8D483C83C83},4291,Poor visibility,2015-07-31T16:35:23+00:00,Unassigned,947.0,"Making a left turn onto Eastern Ave as a cyclist or driver is dangerous because oncoming traffic on Piney Branch is cresting a hill, reducing visibility. A left arrow signal might make this intersection safer.",Biker,POINT (-77.01857129080368 38.97836038942222),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3284,4902,{B15F7900-EF1B-4466-AF0E-BF12E05007A1},4902,Other Driving Issue,2015-08-04T05:01:08+00:00,Unassigned,8899.0,Odd lane shift as vehicles cross from Maryland into DC on Wisconsin Avenue.  drivers in south bound middle lane are cut-off by drivers in south bound right lane.  Better paint/marking needed on road to show lane shift.,Car Driver,POINT (-77.08573497783284 38.96079000517069),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580,5259,{7D43FE27-50D2-42B6-A783-5BF2A45A8341},5259,Other Biking Issue,2015-08-10T18:25:37+00:00,Unassigned,4084.0,"Shoulder full of gravel, potholes and other hazards to bikers",Biker,POINT (-77.02898449070118 38.98642134203266),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3986,5921,{D67C9148-DE11-49B5-8BA1-111525DF059B},5921,Other Walking Issue,2015-08-22T03:23:03+00:00,Unassigned,7633.0,There have been two fatal hit and run pedestrian crashes this year in the 1300 block of Southern.,Pedestrian,POINT (-76.98495436148181 38.83396654192661),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4317,8772,{73C159C7-ED78-4C12-819D-0FDC35222836},8772,Long wait to cross,2015-09-25T19:03:51+00:00,Unassigned,12658.0,Bicycles wishing to cross westbound to Allan Street are often forced to wait a long time due to poor traffic light timing along Western Ave.,Biker,POINT (-77.09822712876303 38.95103973522536),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4617,15891,{8170CA30-8BC9-4DA9-AC63-275783E6DE5D},15891,Other Driving Issue,2015-12-16T20:58:35+00:00,Unassigned,2361.0,"This is prob MD DOT, but pls forward this... when turning left into Western Ave from Wisconsin Circle, the left lane almost at the traffic light on Western has the same 'sinkhole' starting again. Its been patched 2x, but needs more thoro work on it!",Car Driver,POINT (-77.08463450270466 38.96165615392404),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4634,15908,{C8C74C1D-1862-403E-90B6-0BEEE5F4DB49},15908,Other Driving Issue,2015-12-17T00:27:36+00:00,Unassigned,7190.0,Failure to yield to traffic in circle.  Mostly coming from the the north on Connecticut Avenue,Car Driver,POINT (-77.07745263159228 38.96732122856211),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4649,15923,{AD2D28D6-B73B-4799-8F7A-B217BC015ACC},15923,Stop sign running,2015-12-17T00:24:48+00:00,Unassigned,8734.0,People run this stop sign all the time.  Almost hitting drivers and pedestrian.,Car Driver,POINT (-77.06600711729446 38.97620682656289),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5268,36132,{DDADC821-E97B-4E63-B2D6-1A88AD3FEEF9},36132,Red light running,2017-02-08T17:40:06+00:00,Unassigned,6953.0,People blow through these lights in particular east bound. Perhaps better timing and a red light camera would help.,Car Driver,POINT (-76.97767469407198 38.94634990674578),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5437,49089,{BAF1B823-9758-4621-9A59-55E3E9521813},Schlechte Sicht,Poor visibility,2018-09-16T16:30:00+00:00,Unassigned,,,Pedestrian,POINT (12.09875636545634 49.01480832591785),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5438,49090,{469CD8E3-7C23-4829-8236-D42DC238973E},Parkhaus Petersweg,Double parking,2018-09-16T16:30:00+00:00,Unassigned,,,Car Driver,POINT (12.0967500733953 49.01554013279263),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5439,49091,{93011EEF-5883-4185-8F54-998FC8E9616C},Zebrastreifen,Speeding,2018-09-16T16:30:00+00:00,Unassigned,,Überhöhte Geschwindigkeit,Car Driver,POINT (12.09908545450606 49.01467930237855),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5440,49105,{CC91AE57-901B-4A5B-AB09-17D712A5C66A},Übergang Bahngleise,Long distance to cross,2018-09-16T16:30:00+00:00,Unassigned,,erhöhter Zeitaufwand beim Gleiswechsel wegen der anderen Fußgänger,Pedestrian,POINT (12.09964717594851 49.01165928497132),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5441,49409,{24E9F357-BAA8-4158-836D-2A83D62E9CB7},Ecke Galgenberg Hemauer,Other Biking Issue,2018-09-16T04:30:00+00:00,Unassigned,,"Biker fahren auch bei Rot über die Kreuzung, abbiegende PKW's !",Biker,POINT (12.10172471653094 49.01344162124844),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5442,49729,{03138B9B-C08B-424B-AC20-C522CB9328DB},,Other Biking Issue,1970-01-01T00:00:00+00:00,,,,,POINT (12.08838139466061 49.01302830545873),1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5443,49730,{5FF8979B-9C5A-4676-AAE4-AD4170B0255D},Haltestelle Fernbusse,Cyclist behavior,2018-09-16T16:30:00+00:00,Unassigned,,Die Radfahrer haben das Nachsehen. Viele von ihnen weichen auf den Fußweg aus.,Biker,POINT (12.0970717516655 49.01252164481041),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5444,49745,{C3C04C78-831D-43FB-BC8C-74F3846FFD68},Schwierige Fahrradstelle,Other Biking Issue,2018-09-16T16:30:00+00:00,Unassigned,,Ecke Kumpfmühler Straße/Fritz Fendt-Straße,,POINT (12.0882741054961 49.01283127174086),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5445,49746,{36BFB889-831C-471C-8472-A77DE5549E9F},D.-Martin-Luther-Straße,Cyclist behavior,2018-09-16T16:30:00+00:00,Unassigned,,"Keine Führung des Radverkehrs vom Dachauplatz Richtung Galgenbergbrücke, Stress mit Auto- und Busverkehr, zu wenig Platz, Gefahr durch Rechtsabbieger",Biker,POINT (12.10168515133627 49.01736285198831),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5446,49747,{685647EA-C91D-4A03-AD82-448E69985C87},Jacobsstraße,Cyclist behavior,2018-09-16T16:30:00+00:00,Unassigned,,"Starker Verkehr, kein Platz für Radfahrer",Biker,POINT (12.08866034337894 49.01902339000581),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5447,50049,{562A0499-4E2D-44B6-9412-B7C6925DBF45},,Cyclist behavior,1970-01-01T00:00:00+00:00,,,,,POINT (-77.31412812573186 38.80536288121257),1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5521,57409,{055B275A-78F5-4E03-A9B5-5EA489A2FC09},,Blocking the bikebox,1970-01-01T00:00:00+00:00,,,,,POINT (-77.56975802486744 38.98108351466771),1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5522,57410,{A4813BE3-0666-4C08-831B-09E41C2D5A71},,Blocking the bikebox,1970-01-01T00:00:00+00:00,,,,,POINT (-77.33217867914585 38.94050564651639),1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5523,57411,{C34295A9-B509-4F4A-AB5D-76A97B881E2B},,Blocking the bikebox,1970-01-01T00:00:00+00:00,,,,,POINT (-77.37749728293079 38.93302824140604),1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5524,57412,{C131617F-06FD-448F-9272-F7AACBF4BBCD},,Blocking the bikebox,1970-01-01T00:00:00+00:00,,,,,POINT (15.95225934066165 36.37060554415951),1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,57413,{4DA9AAD7-5225-456B-94D6-2AC7FCED308A},,Blocking the bikebox,1970-01-01T00:00:00+00:00,,,,,POINT (4.614368715317037 31.48741780853665),1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5526,57414,{18268322-C988-4995-967B-3EB7A58C90BE},,Blocking the bikebox,1970-01-01T00:00:00+00:00,,,,,POINT (7.77843121501735 26.25666456704268),1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5527,57425,{FE0C52E2-C932-4E04-8222-F673AF5073ED},,Blocking the bikebox,1970-01-01T00:00:00+00:00,,,,,POINT (-77.52306613117723 38.91486554683504),1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5528,57729,{2D4023B8-CA47-41F7-8B92-FFED51E13EBC},,Blocking the bikebox,1970-01-01T00:00:00+00:00,,,,,POINT (7.77843121501735 26.25666456704268),1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5554,62545,{25377C6E-4CFA-4D4A-A479-68F591012A30},,Other Walking Issue,1970-01-01T00:00:00+00:00,,,,,POINT (-76.55712225947542 39.03438916552524),1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5590,66115,{8A272E5E-13DB-4352-AD45-0C0E9839F6D4},,Accessibility Issue,1970-01-01T00:00:00+00:00,,,,,POINT (-77.11367967337102 38.88729934075314),1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
